start,kind,iteration,value,g_norm
2,random,34,-7.307343188167e-01,1.125629e-01
2,random,35,-7.330251293057e-01,7.624517e-02
2,random,36,-7.341205776988e-01,2.950260e-02
2,random,37,-7.344224735819e-01,2.715187e-02
2,random,38,-7.349462099149e-01,2.863893e-02
2,random,39,-7.353923281057e-01,2.237879e-02
2,random,40,-7.356668196612e-01,1.483612e-02
2,random,41,-7.359938619760e-01,1.800619e-02
2,random,42,-7.364054686122e-01,1.844753e-02
2,random,43,-7.365743213349e-01,1.275507e-02
2,random,44,-7.366998314292e-01,8.779148e-03
2,random,45,-7.367591090497e-01,7.117826e-03
2,random,46,-7.368603747701e-01,1.237901e-02
2,random,47,-7.370028106461e-01,1.004781e-02
2,random,48,-7.370998291927e-01,2.279171e-02
2,random,49,-7.372443729933e-01,1.109009e-02
2,random,50,-7.374230203138e-01,1.085395e-02
2,random,51,-7.375214957997e-01,7.998062e-03
2,random,52,-7.375826570207e-01,1.199676e-02
2,random,53,-7.376515404897e-01,6.315312e-03
2,random,54,-7.376694662483e-01,4.654765e-03
2,random,55,-7.376764566837e-01,1.603475e-03
2,random,56,-7.376791603962e-01,9.490057e-04
2,random,57,-7.376809315602e-01,1.253759e-03
2,random,58,-7.376834164023e-01,6.346586e-04
2,random,59,-7.376840533735e-01,1.149635e-03
2,random,60,-7.376849618306e-01,8.703951e-04
2,random,61,-7.376855386849e-01,6.547859e-04
2,random,62,-7.376884701606e-01,2.536060e-03
2,random,63,-7.377006801000e-01,5.552097e-03
2,random,64,-7.377223203275e-01,2.042240e-03
2,random,65,-7.377362820440e-01,2.330127e-03
2,random,66,-7.377407938863e-01,1.269392e-03
2,random,67,-7.377421075277e-01,1.290224e-03
2,random,68,-7.377429567853e-01,3.252169e-04
2,random,69,-7.377431829799e-01,2.840669e-04
2,random,70,-7.377432617240e-01,2.766854e-04
2,random,71,-7.377433588163e-01,1.286692e-04
2,random,72,-7.377433651498e-01,2.675698e-05
2,random,73,-7.377433670831e-01,3.987016e-05
2,random,74,-7.377433712682e-01,3.146447e-05
2,random,75,-7.377433692182e-01,1.092914e-05
2,random,76,-7.377433688214e-01,4.870725e-06
2,random,77,-7.377433658452e-01,6.731759e-06
2,random,78,-7.377433677865e-01,3.520888e-06
2,random,79,-7.377433715153e-01,9.787758e-07
3,random,1,-5.003534340069e-01,8.256033e-03
3,random,2,-5.147113832605e-01,4.759079e-02
3,random,3,-5.151647746421e-01,5.111433e-02
3,random,4,-5.198854240751e-01,8.507660e-02
3,random,5,-5.306210972635e-01,5.204190e-02
3,random,6,-5.376719922711e-01,4.806026e-02
3,random,7,-5.406068689442e-01,3.657891e-02
3,random,8,-5.422517057524e-01,1.922399e-02
3,random,9,-5.454830995604e-01,6.722576e-02
3,random,10,-5.817831868584e-01,2.420826e-01
3,random,11,-5.819659581604e-01,2.328281e-01
3,random,12,-6.059728449157e-01,2.028608e-01
3,random,13,-6.301303633915e-01,1.671440e-01
3,random,14,-6.433300235219e-01,2.156801e-01
3,random,15,-6.555998530177e-01,9.019855e-02
3,random,16,-6.606294755562e-01,1.355247e-01
3,random,17,-6.690938450516e-01,1.817509e-01
3,random,18,-6.751482891547e-01,1.611883e-01
3,random,19,-6.804870832763e-01,1.149125e-01
3,random,20,-6.845273209101e-01,1.076874e-01
3,random,21,-6.887931887578e-01,8.266169e-02
3,random,22,-6.920057026321e-01,4.968146e-02
3,random,23,-6.929405725483e-01,1.355818e-02
3,random,24,-6.929989665825e-01,5.080035e-03
3,random,25,-6.930072293858e-01,2.505739e-03
3,random,26,-6.930090480300e-01,1.572196e-03
3,random,27,-6.930330706988e-01,7.071453e-03
3,random,28,-6.932618691765e-01,1.892086e-02
3,random,29,-6.932897906275e-01,2.226219e-02
3,random,30,-6.934369403824e-01,1.206780e-02
3,random,31,-6.938470835936e-01,5.059203e-02
3,random,32,-6.947997858783e-01,9.278531e-02
3,random,33,-6.950817259047e-01,1.028155e-01
3,random,34,-6.966042387576e-01,1.137031e-01
3,random,35,-6.986157863398e-01,1.008604e-01
3,random,36,-7.001426808674e-01,9.252238e-02
3,random,37,-7.019087879827e-01,7.330433e-02
3,random,38,-7.031679503674e-01,8.217027e-02
3,random,39,-7.048516360842e-01,4.296137e-02
3,random,40,-7.051687552567e-01,3.292955e-02
3,random,41,-7.053546523986e-01,2.449376e-02
3,random,42,-7.056912842792e-01,3.825330e-02
3,random,43,-7.060517640566e-01,1.575626e-02
3,random,44,-7.069646482967e-01,6.257316e-02
3,random,45,-7.085731884075e-01,4.728826e-02
3,random,46,-7.089880806788e-01,3.429793e-02
3,random,47,-7.103612829224e-01,5.521045e-02
3,random,48,-7.107959392513e-01,4.875065e-02
3,random,49,-7.120181401580e-01,7.037427e-02
3,random,50,-7.133596603707e-01,8.789839e-02
3,random,51,-7.160422529835e-01,1.117342e-01
3,random,52,-7.192841763724e-01,1.307045e-01
3,random,53,-7.237761513201e-01,8.428876e-02
3,random,54,-7.246898444659e-01,8.724800e-02
3,random,55,-7.259004782094e-01,2.940409e-02
3,random,56,-7.268779778928e-01,4.959435e-02
3,random,57,-7.278393573952e-01,3.961328e-02
3,random,58,-7.281936480199e-01,6.340384e-02
3,random,59,-7.291243752367e-01,7.030118e-02
3,random,60,-7.307218092769e-01,6.143150e-02
3,random,61,-7.317017304999e-01,3.213813e-02
3,random,62,-7.319397072699e-01,1.564678e-02
3,random,63,-7.321082219408e-01,1.653983e-02
3,random,64,-7.326039322079e-01,3.510628e-02
3,random,65,-7.334782744350e-01,6.163223e-02
3,random,66,-7.344887955497e-01,7.173079e-02
3,random,67,-7.369141776184e-01,5.227293e-02
3,random,68,-7.374441358652e-01,4.372830e-02
3,random,69,-7.380189468308e-01,1.610180e-02
3,random,70,-7.381007137599e-01,9.076756e-03
3,random,71,-7.381372438772e-01,6.195484e-03
3,random,72,-7.381542578581e-01,2.188344e-02
3,random,73,-7.381938856480e-01,5.580229e-03
3,random,74,-7.382156276474e-01,6.446654e-03
3,random,75,-7.382233956535e-01,3.233153e-03
3,random,76,-7.382323377560e-01,6.229054e-03
3,random,77,-7.382792557735e-01,4.162629e-03
3,random,78,-7.383150441285e-01,7.035249e-03
3,random,79,-7.383579537456e-01,3.619228e-03
3,random,80,-7.383639011952e-01,1.309772e-03
3,random,81,-7.383648944745e-01,1.206637e-03
3,random,82,-7.383663105656e-01,1.568239e-03
3,random,83,-7.383719352820e-01,2.008507e-03
3,random,84,-7.383735851439e-01,5.738112e-03
3,random,85,-7.383805857464e-01,3.605069e-03
3,random,86,-7.383875282663e-01,4.631594e-03
3,random,87,-7.384059982058e-01,3.754310e-03
3,random,88,-7.384181660510e-01,1.766095e-03
3,random,89,-7.384197498637e-01,6.947812e-04
3,random,90,-7.384201045211e-01,5.907858e-04
3,random,91,-7.384202126460e-01,4.566342e-04
3,random,92,-7.384202788024e-01,1.953739e-04
3,random,93,-7.384203449889e-01,1.746718e-04
3,random,94,-7.384203587024e-01,1.594439e-04
3,random,95,-7.384203737728e-01,1.085199e-04
3,random,96,-7.384203795999e-01,2.637718e-04
3,random,97,-7.384203825403e-01,9.157740e-05
3,random,98,-7.384203911382e-01,9.794670e-06
3,random,99,-7.384203891455e-01,4.181552e-06
3,random,100,-7.384203907709e-01,1.122207e-06
3,random,101,-7.384203889057e-01,3.879250e-07
